author_id;id;text
14594813;1420751875444416535;"Todas as pessoas que já passaram pela ginástica feminina do Brasil se veem nessa medalha, diz Rebeca Andrade, após ganhar a prata em Tóquio #JogosOlimpicos #Tokyo2020 

https://t.co/CfRg6aSQE9 https://t.co/pU7dqJZI5U"
14594813;1420751478524764167;Rede D'Or compra hospital em Feira de Santana, na Bahia https://t.co/I1fwiVoE1e
14594813;1420750976470818827;Bolsonaro chama imprensa para live, sem direito a perguntas, sobre suposta fraude nas eleições https://t.co/mLyuThmbFQ
14594813;1420749210438144006;Nubank aumentará o limite do cartão de quase 90% dos clientes https://t.co/n57pDZxiMb
14594813;1420748456553947150;Saiba o que é fibrilação atrial, problema cardíaco comum e fácil de ignorar https://t.co/GQUqTMxfLW
14594813;1420748205394841608;"""Gênesis"": Labão acaba sendo rejeitado por Salma https://t.co/ZS6dAKEM4d"
14594813;1420747642502451213;"RT @hernandesraph: Hoje, a partir das 15h, vou mediar seminário sobre cibersegurança e proteção de dados.

Ao vivo, no site da @folha 

htt…"
14594813;1420746445204852741;EUA, Reino Unido e China se provocam com novos exercícios militares https://t.co/RXVhNqnegX
14594813;1420745187039481866;Uruguai vai aplicar 3ª dose da vacina da Pfizer em quem tomou duas da Coronavac https://t.co/d2PUxPL7sZ
14594813;1420744935574106113;País cria 309 mil vagas com carteira assinada em junho, segundo dados do governo https://t.co/sfGr2a0rgZ
14594813;1420744681504186370;Startups apresentam soluções para diversidade nas empresas em evento virtual https://t.co/puk4unYAKE
14594813;1420744430332481549;Volta ao escritório esbarra em obstáculo: a resistência dos jovens https://t.co/K36ZhLcqzK
14594813;1420744181027196937;PF vai treinar trabalhadores de companhias aéreas para reforçar combate ao tráfico de pessoas https://t.co/MRN6w1eQa2
14594813;1420743924994383882;Comércio perde 190,7 mil empresas em seis anos https://t.co/GacFE6qcMD
14594813;1420743674179166215;Cobrado pela filha, Fernando Ferreira leva medalha no celular para o salto em altura https://t.co/hW6LsIvs7p
14594813;1420743667090743306;"E o bronze de @mayraaguiarjudo é 24ª medalha olímpica do judô brasileiro; relembre vencedores #JogosOlímpicos #Tokyo2020 

https://t.co/LN17mloXzD"
14594813;1420743664662319113;".@mayraaguiarjudo chora e fala de TPM após medalha de bronze nas Olimpíadas; terceiro pódio consecutivo no judô faz atleta já pensar nos Jogos Olímpicos de Paris-2024 #JogosOlímpicos #Tokyo2020 
https://t.co/EyGNPQjEWl"
14594813;1420743422512484356;Sem pressão, Maria Suelen Altheman vira a chave por feito inédito em Tóquio https://t.co/Rxvv75VS5i
14594813;1420743171907067915;Mayra Aguiar ri, chora e fala de TPM após medalha de bronze nas Olimpíadas https://t.co/EyGNPQjEWl
14594813;1420742921209319431;"Luz e preços ao produtor sobem e inflação do aluguel volta a acelerar; IGP-M vai a 33,8% em 12 meses https://t.co/ZDkicE9Fyj"
14594813;1420742670968786959;Economia dos Estados Unidos cresce com força no 2º trimestre https://t.co/LtdJrlL9c7
14594813;1420742416684916748;Ginástica brasileira, medalhista com Rebeca, teve tradição forjada nos anos 2000 https://t.co/sV9p3KoCVT
14594813;1420742167576805390;Mario Frias diz que dirigismo cultural faz parte da função do governo https://t.co/IPVQPTpQYw
14594813;1420741914198904837;PF vai treinar funcionários de companhias aéreas para reforçar combate ao tráfico de pessoas https://t.co/PW5IHhJPH5
14594813;1420741663203368966;"Luz e preços ao produtor sobem e inflação do aluguel volta a acelerar; IGP-M vai a 33,83% em 12 meses https://t.co/BzvT74SDYF"
14594813;1420740905326153728;Rebeca é prata e conquista 1ª medalha do Brasil na ginástica feminina em Olimpíadas https://t.co/1AUAf0ZcYB
14594813;1420740840977141764;"Saiba mais sobre a conquista de Rebeca Andrade. Após três cirurgias no joelho, brasileira brilha no individual-geral, que teve ausência de Simone Biles #JogosOlímpicos #Tokyo2020 

https://t.co/1AUAf0ZcYB"
14594813;1420733861529538562;Little Mix ganha estátuas de cera em museu de Londres por seus 10 anos https://t.co/hvYyDDAYko
14594813;1420730327895527428;COM BAILE DE FAVELA, REBECA ANDRADE É PRATA! 🥈ATLETA ENCANTA EM TÓQUIO E CONQUISTA A PRIMEIRA MEDALHA DO BRASIL NA GINÁSTICA FEMININA EM OLIMPÍADAS. LEIA MAIS EM https://t.co/zUqCw90Yw3 📷Lindsey Wasson/Reuters https://t.co/yBFsYjczUy
14594813;1420729295220191235;BAILE DE REBECA!!!!!!!! VAI!!!!!!!!!!!🇧🇷
14594813;1420728334678478854;"Velejador brasileiro Robert Scheidt cai para 4º lugar na classificação geral da laser #JogosOlímpicos #Tokyo2020 
https://t.co/yekgEPzOq6 https://t.co/uV565cjTja"
14594813;1420728262406332417;"Queremos ouvi-lo! Escreva para a Folha

https://t.co/XNAPCAGQBA"
14594813;1420726812682997766;VAI, REBECA! VAI, BRASIL! VAI, BAILE DE FAVELA! https://t.co/nDYPbJRwGs
14594813;1420726728515801089;"Rebeca Andrade cai para segundo, e decisão da ginástica artística será no solo #JogosOlímpicos #Tokyo2020 

https://t.co/BrEfuurtRZ https://t.co/aYY3lFFkvK"
14594813;1420722979722436609;VAI REBECA, VAI BRASIL! ESTAMOS NA TORCIDA! 🇧🇷🇧🇷 🇧🇷
14594813;1420719494910156800;Uma lenda olímpica do Brasil! 🇧🇷  #Tokyo2020 https://t.co/VPkJspLw67
14594813;1420719230304100358;"Fora do individual geral, Simone Biles assiste à final de ginástica #JogosOlímpicos #Tokyo2020 
https://t.co/1EUIgddve0 https://t.co/1dFAnoqhv2"
14594813;1420719013072674825;"Brasil faz 3 a 0 sobre o Japão e garante vitória no vôlei feminino  #JogosOlímpicos #Tokyo2020 
https://t.co/nOGXc3Mzj6 https://t.co/kjN5Q7jx5o"
14594813;1420718995007737861;Estamos na torcida pela Rebeca Andrade!  #Tokyo2020 https://t.co/yYTivUP3NA
14594813;1420716250427166721;Tom Cavalcante e Clarice Falcão estarão em novo reality do Amazon Prime https://t.co/QOMeOjrpmX
14594813;1420706116384837632;"Acordou e ainda não viu o que aconteceu nas Olimpíadas de madrugada? Entre os destaques estão a medalha de bronze de @mayraaguiarjudo e @anasatila fazendo história na canoagem #JogosOlímpicos #Tokyo2020 

https://t.co/N1y2EESmBN"
